Price,District,City,Town,Type,EnergyCertificate,Floor,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,EnergyEfficiencyLevel,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,LotSize,NumberOfBathrooms
195000.0,6.0,111.0,1491.0,0.0,4.0,14.0,0.0,0.0,2009.0,660.0,25.0,11.0,2.0,1.0,2.0,0.0,3.4,0.0,76.0,1299.4,1.0
360000.0,6.0,111.0,1491.0,0.0,4.0,0.0,1.0,1.0,1994.0,72.0,112.8,11.0,2.0,1.0,2.0,1.0,2.8,0.2,72.0,19088.8,1.0
335000.0,6.0,4.0,53.0,0.0,9.0,14.0,0.0,0.0,2023.0,574.0,258.6,11.0,2.0,0.0,2.0,2.0,3.0,1.2,86.0,8166.0,2.0
96500.0,6.0,256.0,2144.0,7.0,9.0,19.0,0.0,0.0,1950.0,211.0,135.0,11.0,2.0,0.0,2.0,2.0,3.2,0.6,135.0,1274.8,1.0
565000.0,6.0,108.0,1852.0,0.0,0.0,14.0,1.0,1.0,2022.0,90.0,97.0,11.0,2.0,1.0,2.0,2.0,2.8,0.6,72.0,529.4,2.0
320000.0,6.0,111.0,1930.0,0.0,0.0,0.0,1.0,1.0,2023.0,308.0,95.0,11.0,2.0,1.0,2.0,2.0,2.6,0.4,77.0,3160.4,2.0
279900.0,6.0,85.0,759.0,0.0,5.0,14.0,0.0,0.0,1980.0,90.0,168.4,11.0,2.0,1.0,2.0,3.0,2.2,0.4,90.0,790.0,2.0
147000.0,6.0,256.0,2157.0,0.0,4.0,0.0,0.0,0.0,2008.0,148.0,94.0,11.0,2.0,0.0,2.0,1.0,1.8,0.0,42.0,1677.0,1.0
615000.0,6.0,111.0,1839.0,0.0,5.0,2.0,2.0,1.0,1992.0,218.0,338.0,11.0,2.0,1.0,2.0,4.0,2.2,1.0,218.0,1236.2,3.0
17000.0,6.0,4.0,53.0,0.0,2.0,0.0,1.0,1.0,1986.0,70.0,45.8,11.0,2.0,1.0,2.0,1.0,1.2,0.0,70.0,2893.6,1.0
600000.0,6.0,108.0,1852.0,0.0,0.0,0.0,1.0,1.0,2022.0,97.0,118.0,11.0,2.0,1.0,2.0,1.0,2.6,1.4,79.0,19548.0,2.0
605000.0,6.0,4.0,53.0,7.0,4.0,19.0,2.0,1.0,1976.0,640.0,113.0,11.0,2.0,0.0,2.0,3.0,2.4,0.8,113.0,1608.4,3.0
