iter	Passed	Remaining
750	4517	1497
751	4523	1491
752	4529	1485
753	4535	1479
754	4541	1473
755	4547	1467
756	4552	1461
757	4558	1455
758	4566	1449
759	4572	1443
760	4578	1437
761	4584	1431
762	4590	1425
763	4595	1419
764	4601	1413
765	4607	1407
766	4612	1401
767	4618	1395
768	4623	1388
769	4628	1382
770	4634	1376
771	4639	1370
772	4645	1364
773	4650	1357
774	4656	1351
775	4661	1345
776	4666	1339
777	4672	1333
778	4678	1327
779	4683	1320
780	4688	1314
781	4695	1308
782	4701	1302
783	4707	1296
784	4712	1290
785	4718	1284
786	4724	1278
787	4729	1272
788	4735	1266
789	4741	1260
790	4747	1254
791	4753	1248
792	4758	1242
793	4764	1236
794	4770	1230
795	4775	1223
796	4781	1217
797	4787	1211
798	4792	1205
799	4798	1199
800	4804	1193
801	4810	1187
802	4815	1181
803	4821	1175
804	4827	1169
805	4833	1163
806	4840	1157
807	4846	1151
808	4852	1145
809	4858	1139
810	4864	1133
811	4869	1127
812	4875	1121
813	4881	1115
814	4887	1109
815	4894	1103
816	4900	1097
817	4906	1091
818	4912	1085
819	4917	1079
820	4923	1073
821	4928	1067
822	4934	1061
823	4940	1055
824	4947	1049
825	4953	1043
826	4958	1037
827	4965	1031
828	4971	1025
829	4977	1019
830	4982	1013
831	4989	1007
832	4994	1001
833	5000	995
834	5006	989
835	5012	983
836	5018	977
837	5024	971
838	5029	965
839	5035	959
840	5042	953
841	5047	947
842	5053	941
843	5059	935
844	5064	928
845	5070	922
846	5076	916
847	5084	911
848	5092	905
849	5098	899
850	5104	893
851	5111	887
852	5117	881
853	5123	875
854	5129	869
855	5134	863
856	5140	857
857	5145	851
858	5151	845
859	5157	839
860	5164	833
861	5170	827
862	5177	821
863	5183	815
864	5188	809
865	5194	803
866	5199	797
867	5206	791
868	5211	785
869	5217	779
870	5223	773
871	5229	767
872	5235	761
873	5241	755
874	5246	749
875	5252	743
876	5258	737
877	5263	731
878	5270	725
879	5276	719
880	5282	713
881	5288	707
882	5295	701
883	5301	695
884	5306	689
885	5313	683
886	5319	677
887	5324	671
888	5330	665
889	5336	659
890	5342	653
891	5348	647
892	5353	641
893	5359	635
894	5364	629
895	5370	623
896	5375	617
897	5381	611
898	5386	605
899	5392	599
900	5398	593
901	5405	587
902	5411	581
903	5417	575
904	5423	569
905	5429	563
906	5434	557
907	5439	551
908	5446	545
909	5452	539
910	5457	533
911	5463	527
912	5469	521
913	5475	515
914	5481	509
915	5486	503
916	5493	497
917	5499	491
918	5505	485
919	5511	479
920	5517	473
921	5522	467
922	5528	461
923	5533	455
924	5539	449
925	5546	443
926	5552	437
927	5558	431
928	5564	425
929	5570	419
930	5576	413
931	5582	407
932	5588	401
933	5593	395
934	5599	389
935	5605	383
936	5611	377
937	5616	371
938	5622	365
939	5628	359
940	5634	353
941	5640	347
942	5645	341
943	5651	335
944	5657	329
945	5663	323
946	5669	317
947	5675	311
948	5682	305
949	5688	299
950	5694	293
951	5700	287
952	5707	281
953	5713	275
954	5718	269
955	5723	263
956	5730	257
957	5736	251
958	5742	245
959	5748	239
960	5754	233
961	5760	227
962	5765	221
963	5770	215
964	5776	209
965	5782	203
966	5789	197
967	5795	191
968	5800	185
969	5806	179
970	5811	173
971	5817	167
972	5824	161
973	5830	155
974	5836	149
975	5841	143
976	5847	137
977	5852	131
978	5858	125
979	5863	119
980	5869	113
981	5874	107
982	5880	101
983	5885	95
984	5892	89
985	5898	83
986	5904	77
987	5909	71
988	5915	65
989	5920	59
990	5926	53
991	5932	47
992	5938	41
993	5943	35
994	5949	29
995	5954	23
996	5961	17
997	5966	11
998	5972	5
999	5978	0
